,schedule_season,schedule_month,schedule_week,Total_Score,over_under_line,Week_Day,Dome_Game,Over_Total_Score_Line,Number_States
0,2012,9,1,41.0,46.0,2,0,0,1
1,2012,9,1,36.0,41.0,6,1,0,1
2,2012,9,1,62.0,42.5,6,0,1,1
3,2012,9,1,33.0,42.0,6,0,0,1
4,2012,9,1,50.0,45.5,6,0,1,1
5,2012,9,1,50.0,46.5,6,1,1,1
6,2012,9,1,52.0,46.5,6,0,1,1
7,2012,9,1,40.0,41.5,6,1,0,1
8,2012,9,1,64.0,43.0,6,0,1,1
9,2012,9,1,49.0,38.0,6,1,1,1
10,2012,9,1,72.0,50.5,6,1,1,1
11,2012,9,1,76.0,39.0,6,0,1,1
12,2012,9,1,26.0,45.5,6,0,0,1
13,2012,9,1,47.0,48.0,6,0,0,1
14,2012,9,1,57.0,43.0,0,0,1,1
15,2012,9,1,36.0,47.5,0,0,0,1
16,2012,9,2,33.0,51.0,3,0,0,1
17,2012,9,2,52.0,45.0,6,0,1,1
18,2012,9,2,62.0,54.0,6,0,1,1
19,2012,9,2,61.0,39.5,6,0,1,1
20,2012,9,2,43.0,45.5,6,1,0,1
21,2012,9,2,34.0,40.0,6,0,0,1
22,2012,9,2,48.0,41.0,6,0,1,1
23,2012,9,2,38.0,47.0,6,0,0,1
24,2012,9,2,75.0,43.5,6,0,1,1
25,2012,9,2,47.0,47.0,6,0,0,1
26,2012,9,2,37.0,43.0,6,0,0,1
27,2012,9,2,48.0,43.5,6,0,1,1
28,2012,9,2,46.0,46.0,6,0,0,1
29,2012,9,2,34.0,43.0,6,0,0,1
30,2012,9,2,59.0,42.5,6,1,1,1
31,2012,9,2,48.0,50.5,0,1,0,1
32,2012,9,3,43.0,49.0,3,0,0,1
33,2012,9,3,33.0,42.0,6,1,0,1
34,2012,9,3,61.0,48.0,6,0,1,1
35,2012,9,3,29.0,42.0,6,0,0,1
36,2012,9,3,38.0,45.0,6,0,0,1
37,2012,9,3,26.0,45.5,6,0,0,1
38,2012,9,3,56.0,43.5,6,0,1,1
39,2012,9,3,39.0,42.0,6,1,0,1
40,2012,9,3,43.0,40.5,6,0,1,1
41,2012,9,3,37.0,42.5,6,1,0,1
42,2012,9,3,51.0,51.5,6,1,0,1
43,2012,9,3,65.0,45.0,6,0,1,1
44,2012,9,3,30.0,47.5,6,0,0,1
45,2012,9,3,85.0,47.0,6,0,1,1
46,2012,9,3,69.0,49.5,6,0,1,1
47,2012,9,3,26.0,45.5,0,0,0,1
48,2012,9,4,39.0,43.5,3,0,0,1
49,2012,9,4,45.0,39.5,6,1,1,1
50,2012,9,4,58.0,48.0,6,1,1,1
51,2012,9,4,80.0,48.5,6,0,1,1
52,2012,9,4,43.0,47.0,6,0,0,1
53,2012,9,4,33.0,48.5,6,1,0,1
54,2012,9,4,55.0,54.0,6,0,1,1
